name,rating,reviews,address,phone,website,hours,email,social_media,category,plus_code,url
CE (Carrier Enterprise),4.3,12,"10025 NW 116th Way Suite 7, Medley, FL 33178",(786) 331-8113,fl.carrierenterprise.com,not_available,not_available,not_available,Air conditioning system supplier,"VJFQ+F3 Medley, Florida",https://www.google.com/maps/place/CE+%28Carrier+Enterprise%29/data=!4m7!3m6!1s0x88d9bbb934b89a09:0x65a881f0cb559e64!8m2!3d25.8737433!4d-80.362298!16s%2Fg%2F11flkhgp3l!19sChIJCZq4NLm72YgRZJ5Vy_CBqGU?authuser=0&hl=en&rclk=1
ALL CARRIER - SKYWORLD INT.,4.8,6,"8601 NW 27th St, Doral, FL 33122",(305) 467-6508,allcarrier.net,not_available,not_available,not_available,Transportation service,"RM27+4W Doral, Florida",https://www.google.com/maps/place/ALL+CARRIER+-+SKYWORLD+INT./data=!4m7!3m6!1s0x88d9b96f0aa67493:0xe5508c0161014860!8m2!3d25.80027!4d-80.335236!16s%2Fg%2F11b7hj8sxv!19sChIJk3SmCm-52YgRYEgBYQGMUOU?authuser=0&hl=en&rclk=1
